iter	Passed	Remaining
0	146	146470
1	148	74332
2	151	50190
3	153	38124
4	155	30883
5	157	26165
6	161	22859
7	163	20256
8	166	18335
9	170	16839
10	171	15449
11	173	14258
12	174	13271
13	176	12420
14	177	11681
15	179	11031
16	180	10465
17	182	9960
18	183	9497
19	185	9079
20	186	8717
21	188	8384
22	190	8081
23	191	7801
24	193	7542
25	194	7296
26	196	7072
27	198	6880
28	199	6685
29	200	6497
30	202	6324
31	203	6166
32	205	6018
33	206	5876
34	208	5745
35	210	5624
36	211	5503
37	212	5387
38	214	5282
39	215	5182
40	217	5085
41	218	4992
42	220	4903
43	221	4822
44	223	4737
45	224	4658
46	226	4587
47	227	4518
48	229	4448
49	230	4381
50	232	4318
51	233	4264
52	235	4201
53	236	4148
54	279	4795
55	280	4728
56	281	4660
57	282	4592
58	283	4524
59	285	4480
60	288	4441
61	290	4391
62	292	4346
63	293	4292
64	295	4253
65	297	4211
66	298	4162
67	299	4106
68	300	4059
69	302	4015
70	303	3970
71	304	3930
72	307	3899
73	309	3874
74	310	3833
75	311	3790
76	312	3748
77	313	3711
78	315	3674
79	316	3639
80	317	3603
81	319	3575
82	321	3551
83	322	3519
84	323	3484
85	325	3454
86	325	3419
87	326	3388
88	328	3361
89	329	3331
90	330	3305
91	332	3286
92	334	3257
93	335	3237
94	337	3212
95	338	3185
96	339	3158
97	340	3132
98	341	3108
99	342	3086
100	344	3067
101	345	3040
102	346	3015
103	347	2992
104	348	2968
105	349	2945
106	350	2922
107	351	2900
108	352	2877
109	352	2856
110	354	2838
111	356	2824
112	357	2804
113	358	2784
114	359	2764
115	360	2744
116	361	2729
117	362	2710
118	363	2689
119	364	2671
120	365	2652
121	367	2642
122	368	2625
123	369	2608
124	370	2591
125	371	2575
126	372	2559
127	372	2540
128	374	2525
129	375	2509
130	376	2494
131	376	2478
132	378	2465
133	379	2453
134	380	2440
135	381	2425
136	382	2412
137	384	2399
138	385	2385
139	386	2373
140	387	2360
141	388	2349
142	389	2336
143	391	2328
144	392	2315
145	393	2302
146	394	2288
147	395	2275
148	396	2263
149	397	2250
150	397	2237
151	398	2224
152	399	2213
153	400	2200
154	401	2189
155	402	2179
156	404	2172
157	405	2163
158	406	2151
159	408	2143
160	409	2131
161	410	2121
162	411	2111
163	412	2101
164	413	2090
165	413	2079
166	415	2070
167	416	2061
168	417	2052
169	418	2041
170	418	2030
171	419	2020
172	420	2009
173	421	1999
174	421	1989
175	422	1979
176	423	1968
177	424	1958
178	424	1948
179	425	1938
180	425	1927
181	426	1917
182	427	1908
183	428	1901
184	429	1892
185	430	1883
186	431	1874
187	431	1864
188	432	1856
189	433	1847
190	434	1838
191	435	1830
192	435	1822
193	436	1813
194	437	1805
195	438	1798
196	439	1791
197	440	1783
198	442	1779
199	442	1771
200	443	1763
